,timeoffset,hr,spd,pwr,cad,dist,lat,lon,alt,temp,prueba,dist_c,ele_gain,porc,spd_c,bearing,wind,mult,viento_aparente,spd_prev,ele_prev,timeoffset_prev,new_ele,time_seg,tramo,tramos_100,altura,peso,tpo_bici,tpo_entreno
0,27865,,5.0,0.0,,0.0,40.5198,-3.929805,662.799987792969,22.7000007629395,20180406_LEVS_195_90_R_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,661.1319846270126,0,0,0,195,90,R,E
1,27867,,5.14174813742357,0.0,0.0,15.0,40.51985,-3.929899,661.417482726053,22.7000007629395,20180406_LEVS_195_90_R_E,11.784731316692751,-1.3825050669159964,-11.731324455040529,5.8923656583463755,290.55718645975463,20.557186459754632,0.9363221835666569,9.363221835666568,0.0,662.799987792969,27865,660.8410918053296,2,0,0,195,90,R,E
2,27868,,5.19999980926514,0.0,0.0,26.0,40.519883,-3.930019,661.6100096,22.6000003814697,20180406_LEVS_195_90_R_E,13.766347305401629,0.19252687394703116,1.3985327383937758,13.766347305401629,280.9715025562707,10.971502556270707,0.9817219655012658,9.817219655012657,5.8923656583463755,661.417482726053,27867,660.5324612688988,3,0,0,195,90,R,E
3,27870,,5.23899899803467,0.0,0.0,39.0,40.519872,-3.93017,659.6100096,22.6000003814697,20180406_LEVS_195_90_R_E,16.742133124949067,-2.0,-11.945909073077475,8.371066562474534,267.0606117581235,2.939388241876486,0.998684340848003,9.986843408480029,13.766347305401629,661.6100096,27868,660.2060930177203,5,0,0,195,90,R,E
4,27872,,5.30000019073486,0.0,0.0,52.0,40.519832,-3.930314,659.0,22.6000003814697,20180406_LEVS_195_90_R_E,16.531498439937515,-0.6100096000000121,-3.6899837133113373,8.265749219968757,258.9236161392597,11.076383860740293,0.9813719342192753,9.813719342192753,8.371066562474534,659.6100096,27870,659.8619870517939,7,0,0,195,90,R,E
5,27874,,5.35217889326895,0.0,0.0,65.0,40.519736,-3.93041,658.869553119261,22.6000003814697,20180406_LEVS_195_90_R_E,15.045383606898245,-0.1304468807389867,-0.8670226306438431,7.522691803449122,234.8288714237066,35.1711285762934,0.817435259632595,8.17435259632595,8.265749219968757,659.0,27872,659.5001433711197,9,0,0,195,90,R,E
6,27876,,6.05954031685971,0.0,0.0,81.0,40.519628,-3.930525,658.0,22.6000003814697,20180406_LEVS_195_90_R_E,17.48081774026498,-0.8695531192610133,-4.974327472439127,8.74040887013249,236.5074872130549,33.4925127869451,0.8339579401513812,8.339579401513813,7.522691803449122,658.869553119261,27874,659.1205619756979,11,0,0,195,90,R,E
7,27878,,6.33899919354248,0.0,0.0,93.0,40.519561,-3.930643,658.0,22.6000003814697,20180406_LEVS_195_90_R_E,15.020931981164914,0.0,0.0,7.510465990582457,248.19760112393402,21.80239887606598,0.9284702775324838,9.284702775324838,8.74040887013249,658.0,27876,658.7232428655282,13,0,0,195,90,R,E
8,27880,,6.40000009536743,0.0,0.0,106.0,40.519532,-3.930786,658.0,22.6000003814697,20180406_LEVS_195_90_R_E,16.137521506048365,0.0,0.0,8.068760753024183,261.87008475276707,8.12991524723293,0.9899499554859746,9.899499554859746,7.510465990582457,658.0,27878,658.3081860406107,15,0,0,195,90,R,E
9,27882,,6.40000009536743,0.0,0.0,124.706971452213,40.519534,-3.931,657.0,22.6000003814697,20180406_LEVS_195_90_R_E,23.665054136283104,-1.0,-4.225640027025363,11.832527068141552,270.37711123312715,0.37711123312715245,0.9999783398175838,9.999783398175838,8.068760753024183,658.0,27880,657.8753915009455,17,0,1,195,90,R,E
