,tramo,tramo_inicial,tramo_final,pwr,time_seg,dist,spd,viento_aparente,porc,dist_acum,prueba,puntos_en_tramo,S,Z,T,CdA
0,0,0,65,74.14901731236344,106,966.0,32.80754716981132,6.555295928632368,-3.377386253851977,948.878610285714,20180406_LEVS_195_90_R_E.gpx,65,-0.03375461652212003,141.021693144095,33.523885539295435,0.39620246587453467
1,1,65,432,255.5881267018237,980,4819.0,17.70244897959184,7.198338640807806,4.181099517057391,5773.0,20180406_LEVS_195_90_R_E.gpx,367,0.041774496876849414,84.62630509515627,10.67963094021388,0.2103292218695159
2,2,432,468,151.4693258701239,44,473.9358236648004,38.7765673907564,8.577245544988196,-1.737872666585584,6248.2898944,20180406_LEVS_195_90_R_E.gpx,36,-0.01737610289742917,211.99480197909148,24.989208944817275,0.19646086218096595
3,3,468,532,249.8729061411381,120,813.2236020020991,24.39670806006297,8.332606891030393,2.662584888997575,7051.0,20180406_LEVS_195_90_R_E.gpx,64,0.026616415896090744,131.84903665671374,8.957335289319072,0.11322716136132606
5,5,548,636,215.967081742516,170,1271.12001126386,26.91783553264644,8.057656466836542,1.566720145088133,8533.0,20180406_LEVS_195_90_R_E.gpx,88,0.015665278959752237,140.4611017556542,10.638132326838761,0.1262286876802
6,6,636,688,80.23209894249902,71,712.0,36.10140845070423,8.552635465775861,-1.730661365554174,9244.0,20180406_LEVS_195_90_R_E.gpx,52,-0.017304022408886018,197.23498884808504,18.863894172610845,0.15940287169450323
7,7,688,892,220.0199811736842,453,2868.0,22.79205298013245,7.115620473081329,2.126106682856453,12118.0,20180406_LEVS_195_90_R_E.gpx,204,0.02125626310556983,106.66882311717423,11.570455301191053,0.18078470920662965
8,8,892,985,86.02596314410533,180,1631.0,32.62,7.314925086870494,-1.471856597029948,13745.0,20180406_LEVS_195_90_R_E.gpx,93,-0.014716971942303397,154.81363384485172,18.073089614272277,0.19456823844064056
9,9,985,1024,203.2420026897484,78,588.0,27.13846153846154,5.761689394520757,0.9465169220567421,14334.4051135397,20180406_LEVS_195_90_R_E.gpx,39,0.009464745259504064,104.5069727754747,14.189750236574973,0.2262967063301536
10,10,1024,1095,50.5930982213116,133,1095.0,29.6390977443609,3.601057121029255,-2.440001133357963,15432.0,20180406_LEVS_195_90_R_E.gpx,71,-0.02439275117310736,76.7623550076734,23.266957785562465,0.5051729193569041
11,11,1095,1126,172.7467487690508,74,437.0,21.25945945945946,6.496179109272608,1.298544674678431,15869.0,20180406_LEVS_195_90_R_E.gpx,31,0.012984352070343309,91.79215257065054,13.373925417299294,0.24282986149979174
15,15,1148,1206,200.6943907341334,140,703.0,18.07714285714286,-0.8360833015532151,2.748246277907367,16841.0,20180406_LEVS_195_90_R_E.gpx,58,0.027472090098058764,1.7001298937878893,11.297980134328146,11.07560484604723
16,16,1206,1252,93.52987999017076,87,768.0,31.77931034482759,8.358601191633129,-1.301929894925088,17610.0,20180406_LEVS_195_90_R_E.gpx,46,-0.01301819568995252,170.6186291550868,17.674446692295614,0.17265061441239332
17,17,1252,1290,221.5880837834519,78,578.0,26.67692307692308,7.48278885931855,0.9412607962124625,18183.0,20180406_LEVS_195_90_R_E.gpx,38,0.009412191024527398,130.03966137603805,17.178366743595706,0.22016830047361105
19,19,1305,2003,239.2643158125607,1618,9191.0,20.44969097651422,5.944083820347291,3.207282538011377,27641.0,20180406_LEVS_195_90_R_E.gpx,698,0.032056341981412946,81.61756047834399,9.403471711256483,0.19202304945456675
21,21,2017,2813,243.8821931456262,2761,9305.0,12.13256066642521,2.516138532041056,7.137194690917319,37196.0,20180406_LEVS_195_90_R_E.gpx,796,0.07119085573295876,24.188368386075165,5.0963525034699835,0.35115724647250063
22,22,2813,3401,55.47783797175867,778,10273.0700416,47.53605674776351,-0.0119247966073896,-6.677409634473724,47466.0698752,20180406_LEVS_195_90_R_E.gpx,588,-0.06662572682035044,26.094010383131454,58.61080107681164,3.743566704660364
23,23,3401,3457,200.8829213773729,144,704.2360461969947,17.60590115492487,5.783766558961813,4.067062353848582,48168.1489970663,20180406_LEVS_195_90_R_E.gpx,56,0.040637028578353857,68.93357135600027,0.7829834689975463,0.018930869569920426
24,24,3457,3489,88.42192004058568,66,515.8938482029989,28.13966444743631,5.938477267125442,-1.276232235789343,48680.8,20180406_LEVS_195_90_R_E.gpx,32,-0.012761283141267628,111.19133882548647,18.164544488581388,0.27227157379422684
25,25,3489,3523,126.5813709461824,78,445.2000640000042,20.54769526153866,3.631571043961342,1.081617389707073,49127.8,20180406_LEVS_195_90_R_E.gpx,34,0.010815541262553957,53.88878881793396,8.21378457269019,0.25403504615282424
30,30,3532,3587,85.08117680366259,105,815.2524312276946,27.95151192780667,5.892553120624932,-0.9331496626999246,50082.4599168,20180406_LEVS_195_90_R_E.gpx,55,-0.009331090374960958,109.71100337820575,14.781904264919024,0.2245582152162912
31,31,3587,3899,222.2913295706326,1220,3795.770186058704,11.20063333591093,5.592770201323866,5.87039853876158,53876.9199616,20180406_LEVS_195_90_R_E.gpx,312,0.0586030944758538,43.43751008596018,15.291572232390518,0.5867268558951865
32,32,3899,4193,58.17014083551584,354,4431.497150836396,45.06607272037013,-5.663766429550982,-5.723635454283758,58303.7899392,20180406_LEVS_195_90_R_E.gpx,294,-0.05714283111050822,-114.2901803008675,50.68369405530777,-0.7391083223697721
34,34,4220,4694,166.0208925717391,498,6130.712969046101,44.31840700515254,-1.517217441342614,-2.914999449869391,64808.4098176,20180406_LEVS_195_90_R_E.gpx,474,-0.02913761768734833,-12.55696553857268,34.79703894418513,-4.618557304216938
35,35,4694,5390,215.4012439916539,2575,8252.417053353893,11.53735976391224,5.388943266079998,6.468742984298455,73063.5715147747,20180406_LEVS_195_90_R_E.gpx,696,0.06455251201756833,43.19164936136982,5.803693108280651,0.22395120330333332
36,36,5390,5927,34.10807880496218,848,8266.5800704,35.09397199698113,-5.887948782838605,-6.498721130377167,81329.6000177232,20180406_LEVS_195_90_R_E.gpx,537,-0.06485041299309936,-92.62363662233834,56.34079501248898,-1.0137944097756197
40,40,5938,6097,117.8465797294053,240,2182.0,32.73,-7.837456398028566,-1.657457684400672,83631.0665604733,20180406_LEVS_195_90_R_E.gpx,159,-0.016572300657297413,-119.58810973324233,23.17922785026248,-0.3230425374502382
41,41,6097,6133,196.590550269927,69,468.799905476495,24.45912550312148,-7.753830116670312,1.799504338098796,84100.2398464,20180406_LEVS_195_90_R_E.gpx,36,0.017992130496663556,-87.13473174110354,8.635296413819889,-0.16517134329927233
42,42,6133,6179,162.6254006971049,94,734.9083611902024,28.14542659877371,-7.071079155219863,-0.5937167895368255,84832.92,20180406_LEVS_195_90_R_E.gpx,46,-0.005937063255661473,-91.07147000759511,21.628277147442013,-0.39581142783863915
44,44,6195,6328,79.79082939313794,218,1995.997173767202,32.96142121817398,-7.788743967696116,-2.485577973149411,87033.6,20180406_LEVS_195_90_R_E.gpx,133,-0.024848105215375314,-119.63389996365565,26.238534097315746,-0.36553928422861914
47,47,6369,6400,189.1789465172097,63,411.5721968850994,23.51841125057711,-8.393712152429107,0.6893167447346721,88006.8702891258,20180406_LEVS_195_90_R_E.gpx,31,0.006893003686146356,-91.16834956794206,18.45758432170528,-0.3374267570046335
48,48,6400,6449,102.0314499018186,97,799.3601407999959,29.66697429773181,-7.780686486819251,-1.34259896152115,88804.9199488,20180406_LEVS_195_90_R_E.gpx,49,-0.013424779713150722,-107.08569214637544,19.81945410311781,-0.308467198961037
49,49,6449,6490,168.7519351842535,84,577.6799103999947,24.75771044571406,-7.881011287560264,1.178195346753106,89385.6641489892,20180406_LEVS_195_90_R_E.gpx,41,0.011781135800095325,-89.85091615041038,9.722026799676557,-0.1803362580336575
51,51,6500,6531,197.2337910850013,75,444.9699455999944,21.35855738879973,-8.458769151586894,1.358546208253752,89941.5000590772,20180406_LEVS_195_90_R_E.gpx,31,0.013584208557142126,-82.98385625407423,16.835897673226054,-0.33813600285656903
