,target,Y_pred,dist_log,porc,viento_aparente,pwr,spd,dist,prueba
17,0,0,6.483181067338743,2.698331378401192,-20.04425436588004,264.5712026138835,22.42451012446292,654.0482119635017,20180415_LEVS_195_90_R_E.gpx
18,1,0,7.711046857303435,-3.708417131282641,-20.42575044167924,33.57256040540202,39.59784603492827,2232.8785403029,20180415_LEVS_195_90_R_E.gpx
104,0,0,6.353297774710723,-2.383206386767698,2.41516849582244,129.2939960180431,39.76503074560448,574.3837774365093,20180415_LEVS_195_90_R_E.gpx
49,0,0,8.098255468256085,3.72633530593552,-6.355314490952775,240.7987781275882,18.79271875091716,3288.725781410503,20180415_LEVS_195_90_R_E.gpx
56,0,0,6.221384955565732,-2.140538234906929,9.54884346939387,125.1882477925217,36.24479539200011,503.3999360000016,20180422_LEVS_195_90_R_E.gpx
28,0,0,3.970291913552122,-0.09267227944982946,-10.2356041880076,199.9806218951873,31.8,53.0,20180422_LEVS_195_90_R_E.gpx
2,0,0,7.070433040229391,-2.378381178288861,-20.54843681064228,96.37173487355479,30.91946620618353,1176.65746395754,20180415_LEVS_195_90_R_E.gpx
9,0,0,6.376726947898627,0.9465169220567421,5.706683039617634,202.9785592614028,27.13846153846154,588.0,20180406_LEVS_195_90_R_E.gpx
46,0,0,4.7535901911063645,-0.1456951537468559,9.924098368247888,94.46247564540785,32.12307692307692,116.0,20180422_LEVS_195_90_R_E.gpx
59,0,0,4.206918431965585,0.1317364193051812,-0.2241183561436204,243.1653617692139,40.28957731967967,67.14929553279944,20180422_LEVS_195_90_R_E.gpx
18,0,0,4.672828834461906,-0.1685148141837514,8.600696455865357,186.4623065211725,29.63076923076923,107.0,20180422_LEVS_195_90_R_E.gpx
63,0,0,3.4298266145348455,0.090943765837829,-5.644108533123892,377.7611601052454,37.04554758323939,30.87128965269949,20180422_LEVS_195_90_R_E.gpx
45,0,0,3.4011973816621555,0.03968028146535592,10.05328564321853,109.2144568252862,21.6,30.0,20180422_LEVS_195_90_R_E.gpx
8,0,0,6.523562306149512,-1.305567287382789,-0.6628807385995346,175.6905443956202,37.71692307692308,681.0,20180422_LEVS_195_90_R_E.gpx
21,0,0,7.989899374942939,2.762792511049482,-3.265338002644624,244.1361984826522,21.68081632653061,2951.0,20180422_LEVS_195_90_R_E.gpx
46,0,0,5.778510744433787,-0.8141979409781851,-8.36943413074619,107.3940527847715,26.44996819847742,323.2773890925018,20180406_LEVS_195_90_R_E.gpx
43,0,0,5.3013242068744395,0.5476768680251723,-7.465045819727705,126.0066190344796,20.63337665976075,200.6022730810073,20180406_LEVS_195_90_R_E.gpx
71,0,0,6.47411573752583,1.345029471545996,22.58429153456347,208.4722337427993,33.33321478749592,648.1458430901985,20180415_LEVS_195_90_R_E.gpx
33,0,0,5.918759754959665,2.2907587864157,-0.5916736223585768,234.6930540031643,22.31700710400023,371.9501184000037,20180406_LEVS_195_90_R_E.gpx
39,0,0,6.733330376899276,4.766628259126644,-8.967490812360637,259.2949485289727,16.52340845114756,839.939929600001,20180422_LEVS_195_90_R_E.gpx
47,0,0,6.019984452808346,0.6893167447346721,-8.327633901514552,185.1664108473684,23.51841125057711,411.5721968850994,20180406_LEVS_195_90_R_E.gpx
42,0,0,7.796057974316123,-3.191645510145635,7.078931701237821,127.4756457149672,42.69073170731708,2431.0,20180422_LEVS_195_90_R_E.gpx
33,0,0,8.17830115490363,1.850824805204204,-1.09812700803578,187.0186529449294,23.75197917772135,3562.796876658202,20180415_LEVS_195_90_R_E.gpx
15,0,0,6.355805584689295,4.196090910036986,6.184366378585902,260.6598173064461,18.18397991044832,575.8260304975302,20180422_LEVS_195_90_R_E.gpx
74,0,0,4.844187086458591,-0.2829162309382351,-1.234680534227574,93.44450086363676,22.86,127.0,20180422_LEVS_195_90_R_E.gpx
11,0,0,7.3453648404168685,1.34270425337591,3.949750643986878,249.6119787607517,29.66170212765958,1549.0,20180422_LEVS_195_90_R_E.gpx
72,0,0,4.758345044713888,-0.1746349332992998,23.98935297734973,219.9885991890922,38.14457773090822,116.5528763999973,20180415_LEVS_195_90_R_E.gpx
79,0,0,5.531064031718611,0.2809075621413292,21.74477309104083,235.2412387181827,41.30383793354189,252.4123429272004,20180415_LEVS_195_90_R_E.gpx
15,0,0,7.882545327307438,2.225124291033696,-8.911496991078922,181.6772664787451,16.3955298087464,2650.610652414001,20180415_LEVS_195_90_R_E.gpx
69,0,0,6.1700290550242185,1.924442052702609,-8.619264349490173,218.3210943498727,24.59314285714271,478.1999999999971,20180406_LEVS_195_90_R_E.gpx
