Registro 1 ,Potencia Media: 250 , Tiempo Total 6881 
Registro 2 ,Potencia Media: 252 , Tiempo Total 6886 
Registro 3 ,Potencia Media: 254 , Tiempo Total 6822 
Registro 4 ,Potencia Media: 257 , Tiempo Total 6823 
Registro 5 ,Potencia Media: 259 , Tiempo Total 6823 
Registro 6 ,Potencia Media: 261 , Tiempo Total 6823 
Registro 7 ,Potencia Media: 251 , Tiempo Total 6883 
Registro 8 ,Potencia Media: 253 , Tiempo Total 6889 
Registro 9 ,Potencia Media: 255 , Tiempo Total 6825 
Registro 10 ,Potencia Media: 258 , Tiempo Total 6825 
Registro 11 ,Potencia Media: 260 , Tiempo Total 6825 
Registro 12 ,Potencia Media: 262 , Tiempo Total 6825 
Registro 13 ,Potencia Media: 252 , Tiempo Total 6854 
Registro 14 ,Potencia Media: 254 , Tiempo Total 6859 
Registro 15 ,Potencia Media: 256 , Tiempo Total 6795 
Registro 16 ,Potencia Media: 259 , Tiempo Total 6796 
Registro 17 ,Potencia Media: 261 , Tiempo Total 6796 
Registro 18 ,Potencia Media: 264 , Tiempo Total 6796 
Registro 19 ,Potencia Media: 253 , Tiempo Total 6854 
Registro 20 ,Potencia Media: 255 , Tiempo Total 6859 
Registro 21 ,Potencia Media: 258 , Tiempo Total 6796 
Registro 22 ,Potencia Media: 260 , Tiempo Total 6796 
Registro 23 ,Potencia Media: 262 , Tiempo Total 6796 
Registro 24 ,Potencia Media: 265 , Tiempo Total 6796 
Registro 25 ,Potencia Media: 254 , Tiempo Total 6854 
Registro 26 ,Potencia Media: 256 , Tiempo Total 6859 
Registro 27 ,Potencia Media: 259 , Tiempo Total 6796 
Registro 28 ,Potencia Media: 261 , Tiempo Total 6796 
Registro 29 ,Potencia Media: 263 , Tiempo Total 6796 
Registro 30 ,Potencia Media: 266 , Tiempo Total 6796 
Registro 31 ,Potencia Media: 255 , Tiempo Total 6854 
Registro 32 ,Potencia Media: 257 , Tiempo Total 6859 
Registro 33 ,Potencia Media: 260 , Tiempo Total 6796 
Registro 34 ,Potencia Media: 262 , Tiempo Total 6796 
